-20,-9;
-49,10;
16,-19;
25,-10;
-13,0;
-19,0;
-5,12;
4,16;
-27,8;
-3,-10;
18,-26;
-13,-35;
-10,-12;
4,6;
-1,-2;
15,14;
27,-25;
-13,-22;
13,24;
7,-22;
-43,-8;
6,36;
30,-10;
16,-21;
10,14;
15,13;
13,-3;
-25,4;
13,-1;
2,-3;
-14,25;
39,14;
-14,-1;
-32,8;
17,-11;
4,-21;
-25,-7;
-2,0;
0,-23;
-47,-33;
-19,3;
13,-4;
4,-13;
29,3;
13,-11;
-21,-3;
-8,-8;
-17,-7;
-11,-10;
-16,-15;
-24,28;
-16,-9;
2,-21;
36,12;
-5,-12;
-29,15;
21,6;
19,-28;
-47,19;
-28,21;
-13,2;
-28,7;
4,-11;
-7,-9;
-10,-21;
0,-15;
-17,8;
-25,14;
-17,-7;
-26,-29;
16,-16;
13,-9;
-30,-1;
4,3;
13,8;
25,-24;
3,-20;
-26,14;
12,-15;
-12,-31;
2,-15;
16,-1;
-28,2;
-15,7;
10,8;
17,-30;
-3,-30;
21,-1;
19,0;
1,4;
-11,3;
-26,6;
-2,-20;
-26,-27;
-43,2;
-11,-12;
-6,-3;
-2,16;
28,-3;
21,6;
-15,-4;
-6,-4;
13,2;
-4,-10;
-5,-20;
-13,-1;
7,-12;
-1,-42;
-16,5;
-11,-14;
-42,-45;
-9,-12;
18,-2;
-11,-12;
11,3;
-1,-3;
-36,-9;
0,-23;
